id,pred_playlist,pred_id,pred_proba,playlist_name,playlist_id,track,track_id,artist_name,duration,explicit,track_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_id,artist_followers,artist_genre,artist_img,artist_popularity,album,album_popularity,album_id,album_art,album_release_date,release_date_precision,date_added_to_playlist,preview_url,pop,rap,dance_pop,pop_rap,postteen_pop,hip_hop,rock,trap_music,modern_rock,latin,edm,tropical_house,southern_hip_hop,rnb,classic_rock,unclassified,created_at,updated_at,user_id
13368,,,,Unclassified,7c3NsohH7WXpiqgSLhH0VI,Bad Habit,1I6OOyTjIWZlSzyXBZwk8W,Triarchy,170663,0,22,0.0723,0.517,0.604,1.33e-06,0,0.107,-6.4,0,0.171,135.777,5,0.363,6Rgu58S7N7LtkLI3zhnY9j,1551,"[""deep uplifting trance""]",https://i.scdn.co/image/c49dfa9baadacece7c4c7f92470e6ce8cd29243c,35,Bad Habit,15,2zbl1YVfycnihFTDj4ru8H,https://i.scdn.co/image/e3eeef96d61983d91147753e52597d350a7cf7cd,2018-02-09,day,2018-02-10T15:01:32Z,https://p.scdn.co/mp3-preview/8ba1b436e0adbef9efac45993f1c6b3430ef23ea?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,2018-02-12 14:21:33 UTC,2018-02-12 14:21:33 UTC,53
13369,,,,Unclassified,7c3NsohH7WXpiqgSLhH0VI,The Sermon (Fatesky Remix),6yC6GAARcu8hw5DmyeeKV9,Tchami,272920,0,37,0.0228,0.76,0.868,0.278,4,0.0924,-5.505,0,0.0744,123.998,4,0.672,1KpCi9BOfviCVhmpI4G2sY,168049,"[""brostep"", ""deep groove house"", ""edm"", ""electro house"", ""electronic trap"", ""house"", ""progressive house"", ""tropical house""]",https://i.scdn.co/image/451afdf987b9a189fca88d16b5492c547528737e,66,NO REDEMPTION TOUR [EXCLUSIVE REMIXES],51,7asy2JKJxd4miDXj67v0b3,https://i.scdn.co/image/1b6c09abc665fa88def7b2dbe63c830ca4b81470,2018-01-22,day,2018-02-10T15:01:32Z,https://p.scdn.co/mp3-preview/89adb3a57c6ecb7a18208c7c177663b2d124bb4f?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,true,2018-02-12 14:21:33 UTC,2018-02-12 14:21:33 UTC,53
13370,,,,Unclassified,7c3NsohH7WXpiqgSLhH0VI,Prophecy (Keeld Remix),0tr5tEUR0U8PrcZHIuPIWY,Tchami,253440,0,48,0.00526,0.882,0.598,0.539,6,0.923,-6.195,0,0.124,125.004,4,0.105,1KpCi9BOfviCVhmpI4G2sY,168049,"[""brostep"", ""deep groove house"", ""edm"", ""electro house"", ""electronic trap"", ""house"", ""progressive house"", ""tropical house""]",https://i.scdn.co/image/451afdf987b9a189fca88d16b5492c547528737e,66,NO REDEMPTION TOUR [EXCLUSIVE REMIXES],51,7asy2JKJxd4miDXj67v0b3,https://i.scdn.co/image/1b6c09abc665fa88def7b2dbe63c830ca4b81470,2018-01-22,day,2018-02-10T15:01:32Z,https://p.scdn.co/mp3-preview/bdb2785ba598f85a69edbaedd1aefcb79fc3b7d3?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,true,2018-02-12 14:21:33 UTC,2018-02-12 14:21:33 UTC,53
13371,,,,Unclassified,7c3NsohH7WXpiqgSLhH0VI,Total Eclipse of the Heart,5prTs2HAw2G4idHZyeFp8o,Bonnie Tyler,269786,0,75,0.195,0.435,0.658,0.0,8,0.102,-8.179,1,0.0661,130.276,4,0.184,0SD4eZCN4Kr0wQk56hCdh2,225621,"[""europop"", ""new wave pop"", ""soft rock""]",https://i.scdn.co/image/f0674034273d64c991ccee858c863b5bc0c594c5,68,The Very Best Of Bonnie Tyler,68,1CuFf5IslmlCno7DAFjrt9,https://i.scdn.co/image/64c2c9c4648a27b6b67f1a3023f34ac8aa7b6140,1999-02-08,day,2018-02-10T15:01:32Z,https://p.scdn.co/mp3-preview/f48d5786b2115ef778856979ab8823072c0d8a7c?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,2018-02-12 14:21:33 UTC,2018-02-12 14:21:33 UTC,53
13372,,,,Unclassified,7c3NsohH7WXpiqgSLhH0VI,Butterfly,4BggEwLhGfrbrl7JBhC8EC,Crazy Town,216733,0,75,0.00132,0.736,0.811,0.000142,9,0.107,-4.17,0,0.081,103.502,4,0.609,4iSKnRZAxkmqNok6tv10Se,100413,"[""alternative metal"", ""funk metal"", ""nu metal"", ""post-grunge"", ""rap metal"", ""rap rock""]",https://i.scdn.co/image/24f287d292b39d2679710829de29857924ba3b95,62,The Gift Of Game,67,0hdOk76DmEMYI6QV92mIin,https://i.scdn.co/image/1ed64355c2251642234fbee9bf3288e706b39b85,1999-11-04,day,2018-02-10T15:01:32Z,https://p.scdn.co/mp3-preview/8bab4427d8ce0fcb58daacaa20d19864554806f1?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,2018-02-12 14:21:33 UTC,2018-02-12 14:21:33 UTC,53
13373,,,,Unclassified,7c3NsohH7WXpiqgSLhH0VI,Absolutely (Story of a Girl) - Radio Mix,3mNecsYFb6LQg7822DPXCP,Nine Days,189333,0,66,0.000891,0.481,0.94,0.0,7,0.0939,-5.204,1,0.066,96.493,4,0.66,306JHpIRGVaQd6OltnOzUO,23020,"[""neo mellow"", ""pop rock"", ""post-grunge""]",https://i.scdn.co/image/6a121009b4e804dd6a32584c09295d9dbbc58688,53,The Madding Crowd,59,4BcmNEt6VK0KBVsVY8yClD,https://i.scdn.co/image/52f0e4c8618b940e38cc666050357f79e0081301,2000-05-16,day,2018-02-10T15:01:32Z,https://p.scdn.co/mp3-preview/64725a43783317af0c8047a5fe5bea769c12a935?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,2018-02-12 14:21:33 UTC,2018-02-12 14:21:33 UTC,53
13374,,,,Unclassified,7c3NsohH7WXpiqgSLhH0VI,Honey,3p7byaSR5J1he8vvDkxirp,Johnny Balik,236490,0,55,0.625,0.756,0.469,0.0,6,0.129,-8.491,0,0.469,139.85,4,0.623,6cXU3B0U7wNEOOU8UjaWww,5521,[],https://i.scdn.co/image/0eb3f05ecaa10242c4f85491dd1232d4b816743d,51,Honey,47,7LUxpsiuHWzgNN2fIIs1XL,https://i.scdn.co/image/4e6a4de7bc09dcadbee0c38c599bdcab697fd7f0,2018-01-26,day,2018-02-10T15:01:32Z,https://p.scdn.co/mp3-preview/e7c2db677b37cda990e153f70e66dd257889112f?cid=85c2941277484801b6e6103512a2e72c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,2018-02-12 14:21:33 UTC,2018-02-12 14:21:33 UTC,53
13375,,,,Unclassified,7c3NsohH7WXpiqgSLhH0VI,Rolling In The Deep - Recorded At Spotify Studios NYC,5GYPG4kaMv1nSSQtMca3iM,Greta Van Fleet,237653,0,53,0.00554,0.605,0.474,0.00372,11,0.0992,-10.1,0,0.0268,104.99,4,0.355,4NpFxQe2UvRCAjto3JqlSl,136465,"[""modern blues""]",https://i.scdn.co/image/26953695e4d6ee1cdf95b7a56038c476643f1c21,66,Spotify Singles,48,6euCv1XBsg76oFROlkmvdM,https://i.scdn.co/image/fc65f6bf4cee9979b606341615a992af71660dd5,2018-01-24,day,2018-02-10T15:01:32Z,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,2018-02-12 14:21:33 UTC,2018-02-12 14:21:33 UTC,53
13376,,,,Unclassified,7c3NsohH7WXpiqgSLhH0VI,Helium (Sia vs. David Guetta & Afrojack),2ludbmtPoyCPe2K08fAlFl,Sia,237372,0,79,0.0977,0.542,0.587,0.0,4,0.2,-6.145,1,0.035,136.915,4,0.243,5WUlDfRSoLAfcVSX1WnrxN,5469925,"[""australian dance"", ""dance pop"", ""pop""]",https://i.scdn.co/image/652b6bb0dfaf8aa444f4414ee018699260e74306,90,Helium (Sia vs. David Guetta & Afrojack),72,0daLYYl9X1oTURdFNjRf1I,https://i.scdn.co/image/3f2dce3a5bc27e69da3ed75234f4248d48503b54,2018-01-25,day,2018-02-10T15:01:32Z,https://p.scdn.co/mp3-preview/3f6cfedc303440bdea78cc2a76aa38d15219ff22?cid=85c2941277484801b6e6103512a2e72c,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,true,2018-02-12 14:21:33 UTC,2018-02-12 14:21:33 UTC,53
13377,,,,Unclassified,7c3NsohH7WXpiqgSLhH0VI,BOOM,6iC7vapdKp0XlKhxOkp8QJ,Tiësto,179512,1,70,0.0183,0.875,0.835,0.00281,2,0.336,-3.626,1,0.0499,123.054,4,0.287,2o5jDhtHVPhrJdv3cEQ99Z,2628441,"[""big room"", ""brostep"", ""edm"", ""electro house"", ""house"", ""pop"", ""trance"", ""tropical house""]",https://i.scdn.co/image/75b06fb7f4eef88d06067ad277840ccfec3eb1b1,83,BOOM,62,47wyCwrChF50ZTFNOuWx99,https://i.scdn.co/image/4cc1db6c1f3e245cf40935dfa90e77dbcd027776,2018-01-26,day,2018-02-10T15:01:32Z,https://p.scdn.co/mp3-preview/2045a3311dc83205b521f3ef1fe2c599de4eeeb7?cid=85c2941277484801b6e6103512a2e72c,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,true,2018-02-12 14:21:33 UTC,2018-02-12 14:21:33 UTC,53
